year,id,response
1973,1,Too Much
1973,2,Too Little
1973,3,About Right
1973,4,Too Much
1973,5,Too Much
1973,6,Too Much
1973,7,Too Much
1973,8,Too Much
1973,9,About Right
1973,10,About Right
1973,11,Too Much
1973,12,Too Much
1973,13,Too Much
1973,14,Too Much
1973,15,Too Much
1973,16,Too Much
1973,17,Too Little
1973,18,Too Little
1973,20,Too Little
1973,21,About Right
1973,22,About Right
1973,23,Too Little
1973,24,Too Little
1973,25,Too Much
1973,26,Too Much
1973,27,Too Much
1973,28,About Right
1973,29,About Right
1973,30,About Right
1973,31,Too Much
1973,32,Too Little
1973,33,Too Much
1973,34,Too Much
1973,35,About Right
1973,36,Too Much
1973,37,Too Much
1973,38,Too Much
1973,39,Too Much
1973,40,Too Much
1973,41,About Right
1973,42,Too Much
1973,43,Too Little
1973,44,Too Much
1973,45,Too Little
1973,46,About Right
1973,48,About Right
1973,49,Too Little
1973,50,Too Much
1973,51,Too Much
1973,52,About Right
1973,53,Too Much
1973,54,Too Much
1973,55,Too Much
1973,56,About Right
1973,57,About Right
1973,58,Too Much
1973,59,About Right
1973,60,About Right
1973,61,Too Little
1973,62,Too Much
1973,63,Too Much
1973,64,Too Much
1973,65,Too Little
1973,66,About Right
1973,68,About Right
1973,69,About Right
1973,70,Too Much
1973,71,Too Much
1973,72,Too Much
1973,73,Too Much
1973,74,Too Much
1973,75,Too Little
1973,76,Too Much
1973,77,About Right
1973,78,Too Much
1973,79,Too Much
1973,80,Too Much
1973,81,Too Little
1973,82,Too Much
1973,83,Too Much
1973,84,About Right
1973,85,Too Much
1973,86,Too Little
1973,87,Too Much
1973,88,Too Much
1973,89,Too Little
1973,90,Too Much
1973,91,About Right
1973,92,Too Much
1973,93,Too Much
1973,94,About Right
1973,95,Too Much
1973,96,Too Much
1973,97,About Right
1973,98,Too Much
1973,99,Too Much
1973,101,Too Much
1973,102,Too Little
1973,103,Too Little
1973,104,Too Little
1973,105,Too Little
1973,106,Too Little
1973,107,Too Much
1973,109,About Right
1973,110,Too Little
1973,111,Too Much
1973,112,About Right
